Devil7.0.SCAFFOLD,Devil7.1.SCAFFOLD,Chromosome,LENGTH,CHROMOSOME POSITION,GENOME POSITION
GL853708.1,Chr3_supercontig_000004186,3,3801,624342940,2036059814
GL853709.1,Chr3_supercontig_000004187,3,2917,624345857,2036062731
GL853710.1,Chr3_supercontig_000004188,3,6739,624352596,2036069470
GL853711.1,Chr3_supercontig_000004189,3,2748,624355344,2036072218
GL853712.1,Chr3_supercontig_000004190,3,1746,624357090,2036073964
GL853713.1,Chr3_supercontig_000004191,3,1660,624358750,2036075624
GL853714.1,Chr3_supercontig_000004192,3,1679,624360429,2036077303
GL853715.1,Chr3_supercontig_000004193,3,1686,624362115,2036078989
GL853716.1,Chr3_supercontig_000004194,3,1596,624363711,2036080585
GL853717.1,Chr3_supercontig_000004195,3,2518,624366229,2036083103
GL853718.1,Chr3_supercontig_000004196,3,4026,624370255,2036087129
GL853719.1,Chr3_supercontig_000004197,3,11306,624381561,2036098435
GL853720.1,Chr3_supercontig_000004198,3,3214,624384775,2036101649
GL853721.1,Chr3_supercontig_000004199,3,4386,624389161,2036106035
GL853722.1,Chr3_supercontig_000004200,3,11895,624401056,2036117930
GL853723.1,Chr3_supercontig_000004201,3,1582,624402638,2036119512
GL853724.1,Chr3_supercontig_000004202,3,3393,624406031,2036122905
GL853725.1,Chr3_supercontig_000004203,3,3462,624409493,2036126367
GL853726.1,Chr3_supercontig_000004204,3,1560,624411053,2036127927
GL853727.1,Chr3_supercontig_000004205,3,2813,624413866,2036130740
GL853728.1,Chr3_supercontig_000004206,3,2111,624415977,2036132851
GL853729.1,Chr3_supercontig_000004207,3,2954,624418931,2036135805
GL853730.1,Chr3_supercontig_000004208,3,5573,624424504,2036141378
GL853731.1,Chr3_supercontig_000004209,3,4219,624428723,2036145597
GL853732.1,Chr3_supercontig_000004210,3,6926,624435649,2036152523
GL853733.1,Chr3_supercontig_000004211,3,8149,624443798,2036160672
GL853734.1,Chr3_supercontig_000004212,3,3692,624447490,2036164364
GL853735.1,Chr3_supercontig_000004213,3,9270,624456760,2036173634
GL853736.1,Chr3_supercontig_000004214,3,2982,624459742,2036176616
GL853737.1,Chr3_supercontig_000004215,3,2233,624461975,2036178849
GL853738.1,Chr3_supercontig_000004216,3,2184,624464159,2036181033
GL853739.1,Chr3_supercontig_000004217,3,1579,624465738,2036182612
GL853740.1,Chr3_supercontig_000004218,3,2916,624468654,2036185528
GL853741.1,Chr3_supercontig_000004219,3,1579,624470233,2036187107
GL853742.1,Chr3_supercontig_000004220,3,1668,624471901,2036188775
GL853743.1,Chr3_supercontig_000004221,3,1790,624473691,2036190565
GL853744.1,Chr3_supercontig_000004222,3,1758,624475449,2036192323
GL853745.1,Chr3_supercontig_000004223,3,5691,624481140,2036198014
GL853746.1,Chr3_supercontig_000004224,3,1506,624482646,2036199520
GL853747.1,Chr3_supercontig_000004225,3,3321,624485967,2036202841
GL853748.1,Chr3_supercontig_000004226,3,1650,624487617,2036204491
GL853749.1,Chr3_supercontig_000004227,3,2112,624489729,2036206603
GL853750.1,Chr3_supercontig_000004228,3,2372,624492101,2036208975
GL853751.1,Chr3_supercontig_000004229,3,3191,624495292,2036212166
GL853752.1,Chr3_supercontig_000004230,3,2534,624497826,2036214700
GL853753.1,Chr3_supercontig_000004231,3,1620,624499446,2036216320
GL853754.1,Chr3_supercontig_000004232,3,2732,624502178,2036219052
GL853755.1,Chr3_supercontig_000004233,3,2345,624504523,2036221397
GL853756.1,Chr3_supercontig_000004234,3,3632,624508155,2036225029
GL853757.1,Chr3_supercontig_000004235,3,2101,624510256,2036227130
GL853758.1,Chr3_supercontig_000004236,3,1558,624511814,2036228688
GL853759.1,Chr3_supercontig_000004237,3,2901,624514715,2036231589
GL853760.1,Chr3_supercontig_000004238,3,1857,624516572,2036233446
GL853761.1,Chr3_supercontig_000004239,3,2658,624519230,2036236104
GL853762.1,Chr3_supercontig_000004240,3,4603,624523833,2036240707
GL853763.1,Chr3_supercontig_000004241,3,1586,624525419,2036242293
GL853764.1,Chr3_supercontig_000004242,3,3360,624528779,2036245653
GL853765.1,Chr3_supercontig_000004243,3,1763,624530542,2036247416
GL853766.1,Chr3_supercontig_000004244,3,3275,624533817,2036250691
GL853767.1,Chr3_supercontig_000004245,3,1954,624535771,2036252645
GL853768.1,Chr3_supercontig_000004246,3,1960,624537731,2036254605
GL853769.1,Chr3_supercontig_000004247,3,1709,624539440,2036256314
GL853770.1,Chr3_supercontig_000004248,3,9426,624548866,2036265740
GL853771.1,Chr3_supercontig_000004249,3,1662,624550528,2036267402
GL853772.1,Chr3_supercontig_000004250,3,3113,624553641,2036270515
GL853773.1,Chr3_supercontig_000004251,3,2572,624556213,2036273087
GL853774.1,Chr3_supercontig_000004252,3,1542,624557755,2036274629
GL853775.1,Chr3_supercontig_000004253,3,6555,624564310,2036281184
GL853776.1,Chr3_supercontig_000004254,3,1790,624566100,2036282974
GL853777.1,Chr3_supercontig_000004255,3,1635,624567735,2036284609
GL853778.1,Chr3_supercontig_000004256,3,2419,624570154,2036287028
GL853779.1,Chr3_supercontig_000004257,3,4276,624574430,2036291304
GL853780.1,Chr3_supercontig_000004258,3,2010,624576440,2036293314
GL853781.1,Chr3_supercontig_000004259,3,8229,624584669,2036301543
GL853782.1,Chr3_supercontig_000004260,3,4566,624589235,2036306109
GL853783.1,Chr3_supercontig_000004261,3,1664,624590899,2036307773
GL853784.1,Chr3_supercontig_000004262,3,1774,624592673,2036309547
GL853785.1,Chr3_supercontig_000004263,3,1566,624594239,2036311113
GL853786.1,Chr3_supercontig_000004264,3,2235,624596474,2036313348
GL853787.1,Chr3_supercontig_000004265,3,1871,624598345,2036315219
GL853788.1,Chr3_supercontig_000004266,3,1516,624599861,2036316735
GL853789.1,Chr3_supercontig_000004267,3,1675,624601536,2036318410
GL853790.1,Chr3_supercontig_000004268,3,2274,624603810,2036320684
GL853791.1,Chr3_supercontig_000004269,3,1781,624605591,2036322465
GL853792.1,Chr3_supercontig_000004270,3,8487,624614078,2036330952
GL853793.1,Chr3_supercontig_000004271,3,2023,624616101,2036332975
GL853794.1,Chr3_supercontig_000004272,3,2519,624618620,2036335494
GL853795.1,Chr3_supercontig_000004273,3,3043,624621663,2036338537
GL853796.1,Chr3_supercontig_000004274,3,7918,624629581,2036346455
GL853797.1,Chr3_supercontig_000004275,3,1765,624631346,2036348220
GL853798.1,Chr3_supercontig_000004276,3,3441,624634787,2036351661
GL853799.1,Chr3_supercontig_000004277,3,2467,624637254,2036354128
GL853800.1,Chr3_supercontig_000004278,3,1837,624639091,2036355965
GL853801.1,Chr3_supercontig_000004279,3,2332,624641423,2036358297
GL853802.1,Chr3_supercontig_000004280,3,2374,624643797,2036360671
GL853803.1,Chr3_supercontig_000004281,3,1936,624645733,2036362607
GL853804.1,Chr3_supercontig_000004282,3,2322,624648055,2036364929
GL853805.1,Chr3_supercontig_000004283,3,1644,624649699,2036366573
GL853806.1,Chr3_supercontig_000004284,3,1783,624651482,2036368356
GL853807.1,Chr3_supercontig_000004285,3,3444,624654926,2036371800
GL853808.1,Chr3_supercontig_000004286,3,2937,624657863,2036374737
GL853809.1,Chr3_supercontig_000004287,3,2271,624660134,2036377008
GL853810.1,Chr3_supercontig_000004288,3,1904,624662038,2036378912
GL853811.1,Chr3_supercontig_000004289,3,8515,624670553,2036387427
GL853812.1,Chr3_supercontig_000004290,3,3464,624674017,2036390891
GL853813.1,Chr3_supercontig_000004291,3,10484,624684501,2036401375
GL853814.1,Chr3_supercontig_000004292,3,3829,624688330,2036405204
GL853815.1,Chr3_supercontig_000004293,3,3095,624691425,2036408299
GL853816.1,Chr3_supercontig_000004294,3,1634,624693059,2036409933
GL853817.1,Chr3_supercontig_000004295,3,3350,624696409,2036413283
GL853818.1,Chr3_supercontig_000004296,3,2207,624698616,2036415490
GL853819.1,Chr3_supercontig_000004297,3,2359,624700975,2036417849
GL853820.1,Chr3_supercontig_000004298,3,2990,624703965,2036420839
GL853821.1,Chr3_supercontig_000004299,3,1729,624705694,2036422568
GL853822.1,Chr3_supercontig_000004300,3,2751,624708445,2036425319
GL853823.1,Chr3_supercontig_000004301,3,5193,624713638,2036430512
GL853824.1,Chr3_supercontig_000004302,3,1802,624715440,2036432314
GL853825.1,Chr3_supercontig_000004303,3,3111,624718551,2036435425
GL853826.1,Chr3_supercontig_000004304,3,4616,624723167,2036440041
GL853827.1,Chr3_supercontig_000004305,3,2936,624726103,2036442977
GL853828.1,Chr3_supercontig_000004306,3,2813,624728916,2036445790
GL853829.1,Chr3_supercontig_000004307,3,1743,624730659,2036447533
GL853830.1,Chr3_supercontig_000004308,3,1504,624732163,2036449037
GL853831.1,Chr3_supercontig_000004309,3,2564,624734727,2036451601
GL853832.1,Chr3_supercontig_000004310,3,1692,624736419,2036453293
GL853833.1,Chr3_supercontig_000004311,3,1739,624738158,2036455032
GL853834.1,Chr3_supercontig_000004312,3,1767,624739925,2036456799
GL853835.1,Chr3_supercontig_000004313,3,5616,624745541,2036462415
GL853836.1,Chr3_supercontig_000004314,3,2193,624747734,2036464608
GL853837.1,Chr3_supercontig_000004315,3,3929,624751663,2036468537
GL853838.1,Chr3_supercontig_000004316,3,2681,624754344,2036471218
GL853839.1,Chr3_supercontig_000004317,3,3202,624757546,2036474420
GL853840.1,Chr3_supercontig_000004318,3,1753,624759299,2036476173
GL853841.1,Chr3_supercontig_000004319,3,6724,624766023,2036482897
GL853842.1,Chr3_supercontig_000004320,3,2666,624768689,2036485563
GL853843.1,Chr3_supercontig_000004321,3,2587,624771276,2036488150
GL853844.1,Chr3_supercontig_000004322,3,1768,624773044,2036489918
GL853845.1,Chr3_supercontig_000004323,3,1637,624774681,2036491555
GL853846.1,Chr3_supercontig_000004324,3,1709,624776390,2036493264
GL853847.1,Chr3_supercontig_000004325,3,3029,624779419,2036496293
GL853848.1,Chr3_supercontig_000004326,3,2629,624782048,2036498922
GL853849.1,Chr3_supercontig_000004327,3,3762,624785810,2036502684
GL853850.1,Chr3_supercontig_000004328,3,1543,624787353,2036504227
GL853851.1,Chr3_supercontig_000004329,3,1664,624789017,2036505891
GL853852.1,Chr3_supercontig_000004330,3,2507,624791524,2036508398
GL853853.1,Chr3_supercontig_000004331,3,3934,624795458,2036512332
GL853854.1,Chr3_supercontig_000004332,3,1905,624797363,2036514237
GL853855.1,Chr3_supercontig_000004333,3,2620,624799983,2036516857
GL853856.1,Chr3_supercontig_000004334,3,2800,624802783,2036519657
GL853857.1,Chr3_supercontig_000004335,3,2883,624805666,2036522540
GL853858.1,Chr3_supercontig_000004336,3,5853,624811519,2036528393
GL853859.1,Chr3_supercontig_000004337,3,1994,624813513,2036530387
GL853860.1,Chr3_supercontig_000004338,3,1969,624815482,2036532356
GL853861.1,Chr3_supercontig_000004339,3,1951,624817433,2036534307
GL853862.1,Chr3_supercontig_000004340,3,1693,624819126,2036536000
GL853863.1,Chr3_supercontig_000004341,3,4241,624823367,2036540241
GL853864.1,Chr3_supercontig_000004342,3,2563,624825930,2036542804
GL853865.1,Chr3_supercontig_000004343,3,2030,624827960,2036544834
GL853866.1,Chr3_supercontig_000004344,3,47051,624875011,2036591885
GL853867.1,Chr3_supercontig_000004345,3,10029,624885040,2036601914
GL853868.1,Chr3_supercontig_000004346,3,2981,624888021,2036604895
GL853869.1,Chr3_supercontig_000004347,3,1915,624889936,2036606810
GL853870.1,Chr3_supercontig_000004348,3,2637,624892573,2036609447
GL853871.1,Chr3_supercontig_000004349,3,1731,624894304,2036611178
GL853872.1,Chr3_supercontig_000004350,3,2641,624896945,2036613819
GL853873.1,Chr3_supercontig_000004351,3,1867,624898812,2036615686
GL853874.1,Chr3_supercontig_000004352,3,2335,624901147,2036618021
GL853875.1,Chr3_supercontig_000004353,3,2469,624903616,2036620490
GL853876.1,Chr3_supercontig_000004354,3,2152,624905768,2036622642
GL853877.1,Chr3_supercontig_000004355,3,1797,624907565,2036624439
GL853878.1,Chr3_supercontig_000004356,3,2504,624910069,2036626943
GL853879.1,Chr3_supercontig_000004357,3,5234,624915303,2036632177
GL853880.1,Chr3_supercontig_000004358,3,2083,624917386,2036634260
GL853881.1,Chr3_supercontig_000004359,3,2738,624920124,2036636998
GL853882.1,Chr3_supercontig_000004360,3,1719,624921843,2036638717
GL853883.1,Chr3_supercontig_000004361,3,1657,624923500,2036640374
GL853884.1,Chr3_supercontig_000004362,3,3430,624926930,2036643804
GL853885.1,Chr3_supercontig_000004363,3,3261,624930191,2036647065
GL853886.1,Chr3_supercontig_000004364,3,1871,624932062,2036648936
GL853887.1,Chr3_supercontig_000004365,3,5598,624937660,2036654534
GL853888.1,Chr3_supercontig_000004366,3,3340,624941000,2036657874
GL853889.1,Chr3_supercontig_000004367,3,30336,624971336,2036688210
GL853890.1,Chr3_supercontig_000004368,3,3220,624974556,2036691430
GL853891.1,Chr3_supercontig_000004369,3,2446,624977002,2036693876
GL853892.1,Chr3_supercontig_000004370,3,7017,624984019,2036700893
GL853893.1,Chr3_supercontig_000004371,3,2807,624986826,2036703700
GL853894.1,Chr3_supercontig_000004372,3,2017,624988843,2036705717
GL853895.1,Chr3_supercontig_000004373,3,2513,624991356,2036708230
GL853896.1,Chr3_supercontig_000004374,3,2666,624994022,2036710896
GL853897.1,Chr3_supercontig_000004375,3,1663,624995685,2036712559
GL853898.1,Chr3_supercontig_000004376,3,1671,624997356,2036714230
GL853899.1,Chr3_supercontig_000004377,3,1557,624998913,2036715787
GL853900.1,Chr3_supercontig_000004378,3,2924,625001837,2036718711
GL853901.1,Chr3_supercontig_000004379,3,3552,625005389,2036722263
GL853902.1,Chr3_supercontig_000004380,3,2077,625007466,2036724340
GL853903.1,Chr3_supercontig_000004381,3,9747,625017213,2036734087
GL853904.1,Chr3_supercontig_000004382,3,8876,625026089,2036742963
GL853905.1,Chr3_supercontig_000004383,3,3093,625029182,2036746056
GL853906.1,Chr3_supercontig_000004384,3,1979,625031161,2036748035
GL853907.1,Chr3_supercontig_000004385,3,1876,625033037,2036749911
GL853908.1,Chr3_supercontig_000004386,3,4949,625037986,2036754860
GL853909.1,Chr3_supercontig_000004387,3,1808,625039794,2036756668
GL853910.1,Chr3_supercontig_000004388,3,3405,625043199,2036760073
GL853911.1,Chr3_supercontig_000004389,3,3331,625046530,2036763404
GL853912.1,Chr3_supercontig_000004390,3,2306,625048836,2036765710
GL853913.1,Chr3_supercontig_000004391,3,2019,625050855,2036767729
GL853914.1,Chr3_supercontig_000004392,3,4934,625055789,2036772663
GL853915.1,Chr3_supercontig_000004393,3,6583,625062372,2036779246
GL853916.1,Chr3_supercontig_000004394,3,3267,625065639,2036782513
GL853917.1,Chr3_supercontig_000004395,3,4075,625069714,2036786588
GL853918.1,Chr3_supercontig_000004396,3,2105,625071819,2036788693
GL853919.1,Chr3_supercontig_000004397,3,2383,625074202,2036791076
GL853920.1,Chr3_supercontig_000004398,3,2162,625076364,2036793238
GL853921.1,Chr3_supercontig_000004399,3,3596,625079960,2036796834
GL853922.1,Chr3_supercontig_000004400,3,2868,625082828,2036799702
GL853923.1,Chr3_supercontig_000004401,3,2338,625085166,2036802040
GL853924.1,Chr3_supercontig_000004402,3,1868,625087034,2036803908
GL853925.1,Chr3_supercontig_000004403,3,1620,625088654,2036805528
GL853926.1,Chr3_supercontig_000004404,3,1897,625090551,2036807425
GL853927.1,Chr3_supercontig_000004405,3,3529,625094080,2036810954
GL853928.1,Chr3_supercontig_000004406,3,10105,625104185,2036821059
GL853929.1,Chr3_supercontig_000004407,3,2093,625106278,2036823152
GL853930.1,Chr3_supercontig_000004408,3,2168,625108446,2036825320
GL853931.1,Chr3_supercontig_000004409,3,2825,625111271,2036828145
GL853932.1,Chr3_supercontig_000004410,3,2749,625114020,2036830894
GL853933.1,Chr3_supercontig_000004411,3,4074,625118094,2036834968
GL853934.1,Chr3_supercontig_000004412,3,2177,625120271,2036837145
GL853935.1,Chr3_supercontig_000004413,3,2143,625122414,2036839288
GL853936.1,Chr3_supercontig_000004414,3,1938,625124352,2036841226
GL853937.1,Chr3_supercontig_000004415,3,1960,625126312,2036843186
GL853938.1,Chr3_supercontig_000004416,3,2303,625128615,2036845489
GL853939.1,Chr3_supercontig_000004417,3,1517,625130132,2036847006
GL853940.1,Chr3_supercontig_000004418,3,1542,625131674,2036848548
GL853941.1,Chr3_supercontig_000004419,3,5643,625137317,2036854191
GL853942.1,Chr3_supercontig_000004420,3,2604,625139921,2036856795
GL853943.1,Chr3_supercontig_000004421,3,1635,625141556,2036858430
GL853944.1,Chr3_supercontig_000004422,3,3667,625145223,2036862097
GL853945.1,Chr3_supercontig_000004423,3,1846,625147069,2036863943
GL853946.1,Chr3_supercontig_000004424,3,4695,625151764,2036868638
GL853947.1,Chr3_supercontig_000004425,3,1927,625153691,2036870565
GL853948.1,Chr3_supercontig_000004426,3,1822,625155513,2036872387
GL853949.1,Chr3_supercontig_000004427,3,4289,625159802,2036876676
GL853950.1,Chr3_supercontig_000004428,3,1917,625161719,2036878593
GL853951.1,Chr3_supercontig_000004429,3,1539,625163258,2036880132
GL853952.1,Chr3_supercontig_000004430,3,1980,625165238,2036882112
GL853953.1,Chr3_supercontig_000004431,3,2338,625167576,2036884450
GL853954.1,Chr3_supercontig_000004432,3,5265,625172841,2036889715
GL853955.1,Chr3_supercontig_000004433,3,3070,625175911,2036892785
GL853956.1,Chr3_supercontig_000004434,3,2328,625178239,2036895113
GL853957.1,Chr3_supercontig_000004435,3,3048,625181287,2036898161
GL853958.1,Chr3_supercontig_000004436,3,2810,625184097,2036900971
GL853959.1,Chr3_supercontig_000004437,3,3044,625187141,2036904015
GL853960.1,Chr3_supercontig_000004438,3,2068,625189209,2036906083
GL853961.1,Chr3_supercontig_000004439,3,3133,625192342,2036909216
GL853962.1,Chr3_supercontig_000004440,3,2520,625194862,2036911736
GL853963.1,Chr3_supercontig_000004441,3,1573,625196435,2036913309
GL853964.1,Chr3_supercontig_000004442,3,1969,625198404,2036915278
GL853965.1,Chr3_supercontig_000004443,3,2741,625201145,2036918019
GL853966.1,Chr3_supercontig_000004444,3,6814,625207959,2036924833
GL853967.1,Chr3_supercontig_000004445,3,1888,625209847,2036926721
GL853968.1,Chr3_supercontig_000004446,3,6388,625216235,2036933109
GL853969.1,Chr3_supercontig_000004447,3,3983,625220218,2036937092
GL853970.1,Chr3_supercontig_000004448,3,3870,625224088,2036940962
GL853971.1,Chr3_supercontig_000004449,3,2174,625226262,2036943136
GL853972.1,Chr3_supercontig_000004450,3,1617,625227879,2036944753
GL853973.1,Chr3_supercontig_000004451,3,5850,625233729,2036950603
GL853974.1,Chr3_supercontig_000004452,3,6494,625240223,2036957097
GL853975.1,Chr3_supercontig_000004453,3,8139,625248362,2036965236
GL853976.1,Chr3_supercontig_000004454,3,1723,625250085,2036966959
GL853977.1,Chr3_supercontig_000004455,3,1631,625251716,2036968590
GL853978.1,Chr3_supercontig_000004456,3,2080,625253796,2036970670
GL853979.1,Chr3_supercontig_000004457,3,2134,625255930,2036972804
GL853980.1,Chr3_supercontig_000004458,3,2977,625258907,2036975781
GL853981.1,Chr3_supercontig_000004459,3,1763,625260670,2036977544
GL853982.1,Chr3_supercontig_000004460,3,1815,625262485,2036979359
GL853983.1,Chr3_supercontig_000004461,3,2624,625265109,2036981983
GL853984.1,Chr3_supercontig_000004462,3,1933,625267042,2036983916
GL853985.1,Chr3_supercontig_000004463,3,5459,625272501,2036989375
GL853986.1,Chr3_supercontig_000004464,3,2092,625274593,2036991467
GL853987.1,Chr3_supercontig_000004465,3,1770,625276363,2036993237
GL853988.1,Chr3_supercontig_000004466,3,3233,625279596,2036996470
GL853989.1,Chr3_supercontig_000004467,3,2349,625281945,2036998819
GL853990.1,Chr3_supercontig_000004468,3,3043,625284988,2037001862
GL853991.1,Chr3_supercontig_000004469,3,1642,625286630,2037003504
GL853992.1,Chr3_supercontig_000004470,3,1953,625288583,2037005457
GL853993.1,Chr3_supercontig_000004471,3,2569,625291152,2037008026
GL853994.1,Chr3_supercontig_000004472,3,5618,625296770,2037013644
GL853995.1,Chr3_supercontig_000004473,3,3937,625300707,2037017581
GL853996.1,Chr3_supercontig_000004474,3,1539,625302246,2037019120
GL853997.1,Chr3_supercontig_000004475,3,1541,625303787,2037020661
GL853998.1,Chr3_supercontig_000004476,3,3396,625307183,2037024057
GL853999.1,Chr3_supercontig_000004477,3,1823,625309006,2037025880
GL854000.1,Chr3_supercontig_000004478,3,2402,625311408,2037028282
GL854001.1,Chr3_supercontig_000004479,3,2756,625314164,2037031038
GL854002.1,Chr3_supercontig_000004480,3,3078,625317242,2037034116
GL854003.1,Chr3_supercontig_000004481,3,5601,625322843,2037039717
GL854004.1,Chr3_supercontig_000004482,3,1608,625324451,2037041325
GL854005.1,Chr3_supercontig_000004483,3,4401,625328852,2037045726
GL854006.1,Chr3_supercontig_000004484,3,1735,625330587,2037047461
GL854007.1,Chr3_supercontig_000004485,3,1885,625332472,2037049346
GL854008.1,Chr3_supercontig_000004486,3,1707,625334179,2037051053
GL854009.1,Chr3_supercontig_000004487,3,1890,625336069,2037052943
GL854010.1,Chr3_supercontig_000004488,3,1680,625337749,2037054623
GL854011.1,Chr3_supercontig_000004489,3,2433,625340182,2037057056
GL854012.1,Chr3_supercontig_000004490,3,2424,625342606,2037059480
GL854013.1,Chr3_supercontig_000004491,3,1681,625344287,2037061161
GL854014.1,Chr3_supercontig_000004492,3,5229,625349516,2037066390
GL854015.1,Chr3_supercontig_000004493,3,2547,625352063,2037068937
GL854016.1,Chr3_supercontig_000004494,3,4003,625356066,2037072940
GL854017.1,Chr3_supercontig_000004495,3,1654,625357720,2037074594
GL854018.1,Chr3_supercontig_000004496,3,2792,625360512,2037077386
GL854019.1,Chr3_supercontig_000004497,3,1850,625362362,2037079236
GL854020.1,Chr3_supercontig_000004498,3,3067,625365429,2037082303
GL854021.1,Chr3_supercontig_000004499,3,1660,625367089,2037083963
GL854022.1,Chr3_supercontig_000004500,3,2116,625369205,2037086079
GL854023.1,Chr3_supercontig_000004501,3,3846,625373051,2037089925
GL854024.1,Chr3_supercontig_000004502,3,3771,625376822,2037093696
GL854025.1,Chr3_supercontig_000004503,3,4383,625381205,2037098079
GL854026.1,Chr3_supercontig_000004504,3,2214,625383419,2037100293
GL854027.1,Chr3_supercontig_000004505,3,2244,625385663,2037102537
GL854028.1,Chr3_supercontig_000004506,3,1769,625387432,2037104306
GL854029.1,Chr3_supercontig_000004507,3,3055,625390487,2037107361
GL854030.1,Chr3_supercontig_000004508,3,5699,625396186,2037113060
GL854031.1,Chr3_supercontig_000004509,3,4417,625400603,2037117477
GL854032.1,Chr3_supercontig_000004510,3,3855,625404458,2037121332
GL854033.1,Chr3_supercontig_000004511,3,2639,625407097,2037123971
GL854034.1,Chr3_supercontig_000004512,3,1785,625408882,2037125756
GL854035.1,Chr3_supercontig_000004513,3,4190,625413072,2037129946
GL854036.1,Chr3_supercontig_000004514,3,4207,625417279,2037134153
GL854037.1,Chr3_supercontig_000004515,3,5212,625422491,2037139365
GL854038.1,Chr3_supercontig_000004516,3,2544,625425035,2037141909
GL854039.1,Chr3_supercontig_000004517,3,1901,625426936,2037143810
GL854040.1,Chr3_supercontig_000004518,3,1869,625428805,2037145679
GL854041.1,Chr3_supercontig_000004519,3,1793,625430598,2037147472
GL854042.1,Chr3_supercontig_000004520,3,1834,625432432,2037149306
GL854043.1,Chr3_supercontig_000004521,3,1986,625434418,2037151292
GL854044.1,Chr3_supercontig_000004522,3,5913,625440331,2037157205
GL854045.1,Chr3_supercontig_000004523,3,1813,625442144,2037159018
GL854046.1,Chr3_supercontig_000004524,3,3092,625445236,2037162110
GL854047.1,Chr3_supercontig_000004525,3,2348,625447584,2037164458
GL854048.1,Chr3_supercontig_000004526,3,2753,625450337,2037167211
GL854049.1,Chr3_supercontig_000004527,3,1971,625452308,2037169182
GL854050.1,Chr3_supercontig_000004528,3,2098,625454406,2037171280
GL854051.1,Chr3_supercontig_000004529,3,2008,625456414,2037173288
GL854052.1,Chr3_supercontig_000004530,3,1615,625458029,2037174903
GL854053.1,Chr3_supercontig_000004531,3,2419,625460448,2037177322
GL854054.1,Chr3_supercontig_000004532,3,2219,625462667,2037179541
GL854055.1,Chr3_supercontig_000004533,3,1803,625464470,2037181344
GL854056.1,Chr3_supercontig_000004534,3,1669,625466139,2037183013
GL854057.1,Chr3_supercontig_000004535,3,2858,625468997,2037185871
GL854058.1,Chr3_supercontig_000004536,3,2343,625471340,2037188214
GL854059.1,Chr3_supercontig_000004537,3,2432,625473772,2037190646
GL854060.1,Chr3_supercontig_000004538,3,11292,625485064,2037201938
GL854061.1,Chr3_supercontig_000004539,3,3896,625488960,2037205834
GL854062.1,Chr3_supercontig_000004540,3,1939,625490899,2037207773
GL854063.1,Chr3_supercontig_000004541,3,1699,625492598,2037209472
GL854064.1,Chr3_supercontig_000004542,3,3343,625495941,2037212815
GL854065.1,Chr3_supercontig_000004543,3,2400,625498341,2037215215
GL854066.1,Chr3_supercontig_000004544,3,1845,625500186,2037217060
GL854067.1,Chr3_supercontig_000004545,3,2084,625502270,2037219144
GL854068.1,Chr3_supercontig_000004546,3,2679,625504949,2037221823
GL854069.1,Chr3_supercontig_000004547,3,4034,625508983,2037225857
GL854070.1,Chr3_supercontig_000004548,3,2204,625511187,2037228061
GL854071.1,Chr3_supercontig_000004549,3,1622,625512809,2037229683
GL854072.1,Chr3_supercontig_000004550,3,2799,625515608,2037232482
GL854073.1,Chr3_supercontig_000004551,3,1618,625517226,2037234100
GL854074.1,Chr3_supercontig_000004552,3,2694,625519920,2037236794
GL854075.1,Chr3_supercontig_000004553,3,2990,625522910,2037239784
GL854076.1,Chr3_supercontig_000004554,3,5907,625528817,2037245691
GL854077.1,Chr3_supercontig_000004555,3,5157,625533974,2037250848
GL854078.1,Chr3_supercontig_000004556,3,2703,625536677,2037253551
GL854079.1,Chr3_supercontig_000004557,3,6921,625543598,2037260472
GL854080.1,Chr3_supercontig_000004558,3,1596,625545194,2037262068
GL854081.1,Chr3_supercontig_000004559,3,1997,625547191,2037264065
GL854082.1,Chr3_supercontig_000004560,3,3031,625550222,2037267096
GL854083.1,Chr3_supercontig_000004561,3,1969,625552191,2037269065
GL854084.1,Chr3_supercontig_000004562,3,1578,625553769,2037270643
GL854085.1,Chr3_supercontig_000004563,3,1987,625555756,2037272630
GL854086.1,Chr3_supercontig_000004564,3,2119,625557875,2037274749
GL854087.1,Chr3_supercontig_000004565,3,1610,625559485,2037276359
GL854088.1,Chr3_supercontig_000004566,3,2179,625561664,2037278538
GL854089.1,Chr3_supercontig_000004567,3,1645,625563309,2037280183
GL854090.1,Chr3_supercontig_000004568,3,1881,625565190,2037282064
GL854091.1,Chr3_supercontig_000004569,3,3124,625568314,2037285188
GL854092.1,Chr3_supercontig_000004570,3,2045,625570359,2037287233
GL854093.1,Chr3_supercontig_000004571,3,1507,625571866,2037288740
GL854094.1,Chr3_supercontig_000004572,3,2315,625574181,2037291055
GL854095.1,Chr3_supercontig_000004573,3,1774,625575955,2037292829
GL854096.1,Chr3_supercontig_000004574,3,1841,625577796,2037294670
GL854097.1,Chr3_supercontig_000004575,3,1585,625579381,2037296255
GL854098.1,Chr3_supercontig_000004576,3,2833,625582214,2037299088
GL854099.1,Chr3_supercontig_000004577,3,1620,625583834,2037300708
GL854100.1,Chr3_supercontig_000004578,3,15896,625599730,2037316604
GL854101.1,Chr3_supercontig_000004579,3,9502,625609232,2037326106
GL854102.1,Chr3_supercontig_000004580,3,1914,625611146,2037328020
GL854103.1,Chr3_supercontig_000004581,3,3373,625614519,2037331393
GL854104.1,Chr3_supercontig_000004582,3,1668,625616187,2037333061
GL854105.1,Chr3_supercontig_000004583,3,3329,625619516,2037336390
